classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,duration
InceptionTime,TSC,Cricket_Z,0.0,0.8561383969851711,0.8589743589743589,0.8527754494320964,0.0017175674438476562
InceptionTime,TSC,CinC_ECG_torso,0.0,0.8669787352011672,0.8514492753623188,0.8519433677361105,0.002661943435668945
InceptionTime,TSC,yoga,0.0,0.9069273505505276,0.9056666666666666,0.9036307414930462,0.0017447471618652346
InceptionTime,TSC,DiatomSizeReduction,0.0,0.9535398230088497,0.931372549019608,0.9048194713088331,0.062445402145385735
InceptionTime,TSC,ProximalPhalanxOutlineCorrect,0.0,0.9370853080568721,0.9312714776632304,0.9029932270045882,0.0016279220581054688
InceptionTime,TSC,MedicalImages,0.0,0.8134324064338492,0.7986842105263158,0.7756370486483513,0.0017778873443603516
InceptionTime,TSC,ElectricDevices,0.0,0.7000427540202316,0.7227337569705615,0.638230747588879,0.0025167465209960933
InceptionTime,TSC,Ham,0.0,0.7255244755244755,0.7142857142857143,0.7107843137254902,0.001615762710571289
InceptionTime,TSC,uWaveGestureLibrary_X,0.0,0.8195922213351515,0.8246789503070909,0.8229863820656842,0.0021202564239501953
InceptionTime,TSC,ProximalPhalanxOutlineAgeGroup,0.0,0.7644786215068629,0.8536585365853658,0.7778966131907309,0.0016345977783203125
InceptionTime,TSC,ECG200,0.0,0.9097693351424694,0.91,0.8932291666666667,0.0018374919891357426
InceptionTime,TSC,DistalPhalanxOutlineAgeGroup,0.0,0.7176506144494329,0.7266187050359713,0.7615529479936259,0.0016312599182128904
InceptionTime,TSC,wafer,0.0,0.9946928796791364,0.99870214146658,0.9986116409408684,0.003507375717163086
InceptionTime,TSC,PhalangesOutlinesCorrect,0.0,0.8552520356845312,0.8543123543123543,0.8345205918731962,0.0016765594482421875
InceptionTime,TSC,MALLAT,0.0,0.9658076976448158,0.9628997867803838,0.9631013874163956,0.003491640090942383
InceptionTime,TSC,InsectWingbeatSound,0.0,0.6345276351730811,0.6348484848484849,0.6348484848484848,0.002016544342041016
InceptionTime,TSC,Earthquakes,0.0,0.6029914529914531,0.7410071942446043,0.5331043956043956,0.0016236305236816404
InceptionTime,TSC,WormsTwoClass,0.0,0.7898648648648648,0.7922077922077922,0.7954545454545454,0.0015969276428222654
InceptionTime,TSC,HandOutlines,0.0,0.9635129819040126,0.9594594594594594,0.9485581041210622,0.0016405582427978516
InceptionTime,TSC,ProximalPhalanxTW,0.0,0.5491048036779743,0.775609756097561,0.5188965884861407,0.0016524791717529295
InceptionTime,TSC,BeetleFly,0.0,0.8846153846153846,0.85,0.85,0.03439831733703613
InceptionTime,TSC,UWaveGestureLibraryAll,0.0,0.9551012973395808,0.954494695700726,0.9546842338940807,0.002135753631591797
InceptionTime,TSC,NonInvasiveFatalECG_Thorax2,0.0,0.965402824340713,0.9674300254452928,0.9652012369194752,0.002941370010375977
InceptionTime,TSC,TwoLeadECG,0.0,0.995644599303136,0.9956101843722563,0.9956140350877192,0.014839649200439453
InceptionTime,TSC,Plane,0.0,1.0,1.0,1.0,0.001629352569580078
InceptionTime,TSC,BirdChicken,0.0,0.9545454545454546,0.95,0.95,0.03665471076965332
InceptionTime,TSC,InlineSkate,0.0,0.5126954414166695,0.4854545454545455,0.5019899175057468,0.00170135498046875
InceptionTime,TSC,Symbols,0.0,0.9821482085978208,0.9819095477386934,0.9821629278894654,0.0026497840881347656
InceptionTime,TSC,Strawberry,0.0,0.9794808949220716,0.9837837837837838,0.9857079195314488,0.0016367435455322266
InceptionTime,TSC,Haptics,0.0,0.5748733464677737,0.5681818181818182,0.5687705358363064,0.0016562938690185547
InceptionTime,TSC,MoteStrain,0.0,0.9043788819875777,0.9033546325878594,0.9011862122087424,0.02577042579650879
InceptionTime,TSC,FacesUCR,0.0,0.96703410243946,0.973170731707317,0.9611430542044104,0.002129077911376953
InceptionTime,TSC,Adiac,0.0,0.8537939537939538,0.8363171355498721,0.8417390042390042,0.0018765926361083984
InceptionTime,TSC,FordB,0.0,0.9367089470709544,0.9364686468646864,0.936237648939262,0.0017664432525634766
InceptionTime,TSC,ShapeletSim,0.0,0.9891304347826086,0.9888888888888888,0.9888888888888888,0.020729541778564453
InceptionTime,TSC,MiddlePhalanxOutlineAgeGroup,0.0,0.4711368878035545,0.5324675324675324,0.4659867547798582,0.0016133785247802734
InceptionTime,TSC,CBF,0.0,0.9988998899889988,0.9988888888888888,0.9988888888888888,0.002175331115722656
InceptionTime,TSC,Herring,0.0,0.6919406150583245,0.703125,0.6831983805668016,0.0016019344329833984
InceptionTime,TSC,FordA,0.0,0.948439292184293,0.9483476811996668,0.9482023193290798,0.0019631385803222656
InceptionTime,TSC,Meat,0.0,0.9523809523809522,0.95,0.95,0.001615285873413086
InceptionTime,TSC,OliveOil,0.0,0.9166666666666666,0.8666666666666667,0.7916666666666666,0.011010169982910156
InceptionTime,TSC,Car,0.0,0.9069264069264068,0.9,0.8967611336032388,0.0016236305236816404
InceptionTime,TSC,LargeKitchenAppliances,0.0,0.9087965646806228,0.9066666666666666,0.9066666666666668,0.0016376972198486328
InceptionTime,TSC,ECGFiveDays,0.0,1.0,1.0,1.0,0.018172740936279297
InceptionTime,TSC,FaceFour,0.0,0.9741379310344828,0.9659090909090908,0.9676573426573428,0.002019882202148437
InceptionTime,TSC,ECG5000,0.0,0.7075120301384638,0.9408888888888888,0.5785365283669086,0.0020072460174560547
InceptionTime,TSC,ToeSegmentation1,0.0,0.9691035013466718,0.9692982456140352,0.9703703703703704,0.0020127296447753906
