classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,duration
inception,UCRArchive_2018,Wafer,0.0,0.9931214883987098,0.9982154445165476,0.9976779099959392,647.6484715938567
inception,UCRArchive_2018,HandOutlines,0.0,0.953530416150524,0.945945945945946,0.9297611116398592,5607.168167114258
inception,UCRArchive_2018,ShapesAll,0.0,0.9239722314722314,0.915,0.915,784.6097433567047
inception,UCRArchive_2018,FiftyWords,0.0,0.7031457423282861,0.8043956043956044,0.6775176468698141,415.8979766368866
inception,UCRArchive_2018,FaceFour,0.0,0.9666666666666668,0.9545454545454546,0.958041958041958,388.3393914699554
inception,UCRArchive_2018,ShakeGestureWiimoteZ,0.0,0.9180952380952382,0.9,0.9,407.6392946243286
inception,UCRArchive_2018,DodgerLoopGame,0.0,0.8487492116880386,0.8478260869565217,0.8491161616161615,574.3230748176575
inception,UCRArchive_2018,ScreenType,0.0,0.5782200730275833,0.5706666666666667,0.5706666666666667,584.9358880519868
inception,UCRArchive_2018,GestureMidAirD3,0.0,0.40441641691641694,0.3692307692307693,0.3692307692307692,256.61901664733887
inception,UCRArchive_2018,ItalyPowerDemand,0.0,0.9555718109236072,0.9552964042759962,0.9552620245704702,167.00691390037537
inception,UCRArchive_2018,ToeSegmentation1,0.0,0.9567426108374384,0.9561403508771931,0.9578703703703704,547.4451417922974
inception,UCRArchive_2018,FordA,0.0,0.955184865301922,0.9553030303030304,0.955378378937354,4289.5469336509705
inception,UCRArchive_2018,AllGestureWiimoteZ,0.0,0.77923040175186,0.7785714285714286,0.7785714285714286,379.6802439689636
inception,UCRArchive_2018,Coffee,0.0,1.0,1.0,1.0,379.8239572048187
inception,UCRArchive_2018,EOGVerticalSignal,0.0,0.4450817180660204,0.44751381215469616,0.4483561982449635,1041.823183298111
inception,UCRArchive_2018,ProximalPhalanxTW,0.0,0.5661189767469961,0.7853658536585366,0.5382235647161021,579.6204903125762
inception,UCRArchive_2018,TwoLeadECG,0.0,0.995644599303136,0.9956101843722563,0.9956140350877192,452.7971205711365
inception,UCRArchive_2018,SemgHandSubjectCh2,0.0,0.8088468753200768,0.8,0.8,1259.168282032013
inception,UCRArchive_2018,NonInvasiveFetalECGThorax2,0.0,0.9567489077730312,0.9587786259541984,0.9565967743658392,2767.1585397720337
inception,UCRArchive_2018,SwedishLeaf,0.0,0.9507417227172772,0.9472,0.9489816613419098,802.3838157653809
inception,UCRArchive_2018,Chinatown,0.0,0.97,0.9825072886297376,0.9879518072289156,463.8323519229889
inception,UCRArchive_2018,WordSynonyms,0.0,0.6503199566943562,0.731974921630094,0.5901667537621151,381.4086408615112
inception,UCRArchive_2018,Strawberry,0.0,0.9759562670342408,0.9810810810810808,0.9836070791953144,473.7469210624695
inception,UCRArchive_2018,ECGFiveDays,0.0,1.0,1.0,1.0,651.1340007781982
inception,UCRArchive_2018,Crop,0.0,0.7480272130755184,0.7531547619047619,0.7531547619047618,4032.310709476471
inception,UCRArchive_2018,UWaveGestureLibraryZ,0.0,0.7390188676349797,0.7481853713009492,0.7498745891345837,827.1475694179535
inception,UCRArchive_2018,UWaveGestureLibraryX,0.0,0.8061828218303473,0.8129536571747628,0.8111405229477234,820.7186388969421
inception,UCRArchive_2018,Computers,0.0,0.7800179211469533,0.78,0.78,450.464946269989
inception,UCRArchive_2018,FreezerSmallTrain,0.0,0.8481197200857395,0.8480701754385965,0.8480701754385964,390.0002181529999
inception,UCRArchive_2018,DodgerLoopWeekend,0.0,0.9436674436674436,0.9637681159420288,0.9665032679738562,389.12136244773865
inception,UCRArchive_2018,SmoothSubspace,0.0,0.973846153846154,0.9733333333333334,0.9733333333333332,136.2950723171234
inception,UCRArchive_2018,Rock,0.0,0.8173976608187135,0.84,0.8650793650793651,477.72187304496765
inception,UCRArchive_2018,SemgHandMovementCh2,0.0,0.5476013899818596,0.4288888888888889,0.4288888888888889,1262.511299610138
inception,UCRArchive_2018,ShapeletSim,0.0,0.9838709677419356,0.9833333333333332,0.9833333333333334,505.90533351898193
inception,UCRArchive_2018,MoteStrain,0.0,0.8909297668126086,0.8825878594249201,0.8768945375184543,466.2703230381012
inception,UCRArchive_2018,CinCECGTorso,0.0,0.8775776320976265,0.8644927536231884,0.8649502823903888,498.9222853183746
inception,UCRArchive_2018,InlineSkate,0.0,0.4961583274146114,0.4654545454545455,0.4765074354103697,453.80858063697815
inception,UCRArchive_2018,SonyAIBORobotSurface2,0.0,0.9381104688037982,0.9454354669464848,0.950587084148728,385.6187553405762
inception,UCRArchive_2018,InsectEPGSmallTrain,0.0,0.9467525038391179,0.9437751004016064,0.9442948130817108,393.2046835422516
inception,UCRArchive_2018,FreezerRegularTrain,0.0,0.9968619246861924,0.996842105263158,0.996842105263158,175.44111680984497
inception,UCRArchive_2018,ArrowHead,0.0,0.8308367486338798,0.8228571428571428,0.8371160331783795,493.304856300354
inception,UCRArchive_2018,GunPointMaleVersusFemale,0.0,0.9934210526315791,0.9936708860759492,0.9939759036144578,140.04321718215942
inception,UCRArchive_2018,Haptics,0.0,0.5731649355210998,0.564935064935065,0.5644458231926283,474.8406112194061
inception,UCRArchive_2018,PigCVP,0.0,0.9613095238095236,0.9471153846153846,0.9471153846153846,423.32213973999023
inception,UCRArchive_2018,Worms,0.0,0.7762554112554113,0.7532467532467533,0.679032634032634,351.6526520252228
inception,UCRArchive_2018,Beef,0.0,0.7666666666666666,0.6666666666666666,0.6666666666666666,392.76247453689575
inception,UCRArchive_2018,ToeSegmentation2,0.0,0.8916012290884261,0.946153846153846,0.9508647798742138,523.5870862007141
