,classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,train_time,test_time
0,InceptionTime,TSC,Cricket_Z,0.0,0.8561383969851711,0.8589743589743589,0.8527754494320964,6700.432929754256,26.273032903671265
1,InceptionTime,TSC,CinC_ECG_torso,0.0,0.8669787352011672,0.8514492753623188,0.8519433677361105,7076.341370582581,30.91060471534729
2,InceptionTime,TSC,yoga,0.0,0.9069273505505276,0.9056666666666666,0.9036307414930462,29983.31498813629,29.754465341567993
3,InceptionTime,TSC,DiatomSizeReduction,0.0,0.9535398230088497,0.9313725490196079,0.9048194713088332,2098.353734731674,28.772345781326294
4,InceptionTime,TSC,ProximalPhalanxOutlineCorrect,0.0,0.937085308056872,0.9312714776632304,0.9029932270045882,6289.685852766038,26.1302547454834
5,InceptionTime,TSC,MedicalImages,0.0,0.8134324064338492,0.7986842105263158,0.7756370486483513,5778.30172586441,26.75120782852173
6,InceptionTime,TSC,ElectricDevices,0.0,0.7000427540202316,0.7227337569705615,0.638230747588879,27994.953814983368,32.62103319168091
7,InceptionTime,TSC,Ham,0.0,0.7255244755244755,0.7142857142857143,0.7107843137254902,5141.470022201538,26.084911584854126
8,InceptionTime,TSC,uWaveGestureLibrary_X,0.0,0.8195922213351515,0.8246789503070909,0.8229863820656842,5699.335381031036,30.068228244781494
9,InceptionTime,TSC,ProximalPhalanxOutlineAgeGroup,0.0,0.7644786215068629,0.8536585365853658,0.7778966131907309,3031.904261827469,26.161071300506592
10,InceptionTime,TSC,ECG200,0.0,0.9097693351424694,0.91,0.8932291666666667,1524.689148426056,26.08438277244568
11,InceptionTime,TSC,DistalPhalanxOutlineAgeGroup,0.0,0.7176506144494329,0.7266187050359713,0.7615529479936259,2796.020144224167,26.102622509002686
12,InceptionTime,TSC,wafer,0.0,0.9946928796791364,0.9987021414665799,0.9986116409408684,3216.927908182144,31.498469591140747
13,InceptionTime,TSC,PhalangesOutlinesCorrect,0.0,0.8552520356845312,0.8543123543123543,0.8345205918731962,5626.570257425308,26.631666898727417
14,InceptionTime,TSC,MALLAT,0.0,0.9658076976448158,0.9628997867803838,0.9631013874163956,38133.44534516334,31.594311475753784
15,InceptionTime,TSC,InsectWingbeatSound,0.0,0.6345276351730811,0.6348484848484849,0.6348484848484848,4176.648567676544,28.127814769744873
16,InceptionTime,TSC,Earthquakes,0.0,0.6029914529914531,0.7410071942446043,0.5331043956043956,2330.5318007469177,26.154991626739502
17,InceptionTime,TSC,WormsTwoClass,0.0,0.7898648648648648,0.7922077922077922,0.7954545454545454,1914.2519879341125,26.029240608215332
18,InceptionTime,TSC,HandOutlines,0.0,0.9635129819040126,0.9594594594594594,0.9485581041210622,29384.18191933632,28.02995204925537
19,InceptionTime,TSC,ProximalPhalanxTW,0.0,0.5491048036779743,0.775609756097561,0.5188965884861407,1494.7710030078888,26.0580952167511
20,InceptionTime,TSC,BeetleFly,0.0,0.8846153846153846,0.85,0.85,2013.1725599765778,25.73745584487915
21,InceptionTime,TSC,UWaveGestureLibraryAll,0.0,0.9551012973395808,0.9544946957007259,0.9546842338940807,12811.419054031374,34.50087380409241
22,InceptionTime,TSC,NonInvasiveFatalECG_Thorax2,0.0,0.965402824340713,0.9674300254452928,0.9652012369194752,15558.547727108002,29.837828159332275
23,InceptionTime,TSC,TwoLeadECG,0.0,0.995644599303136,0.9956101843722563,0.9956140350877192,2419.5063292980194,26.89123225212097
24,InceptionTime,TSC,Plane,0.0,1.0,1.0,1.0,1849.175086259842,26.048651933670044
25,InceptionTime,TSC,BirdChicken,0.0,0.9545454545454546,0.95,0.95,1994.2252931594849,25.751322746276855
26,InceptionTime,TSC,InlineSkate,0.0,0.5126954414166695,0.4854545454545455,0.5019899175057468,3276.410366296768,28.106099128723145
27,InceptionTime,TSC,Symbols,0.0,0.9821482085978208,0.9819095477386934,0.9821629278894654,9120.43289232254,27.13359498977661
28,InceptionTime,TSC,Strawberry,0.0,0.9794808949220716,0.9837837837837838,0.9857079195314488,16465.5087518692,26.413569927215576
29,InceptionTime,TSC,Haptics,0.0,0.5748733464677737,0.5681818181818182,0.5687705358363064,2224.5315017700195,26.734230279922485
30,InceptionTime,TSC,MoteStrain,0.0,0.9043788819875777,0.9033546325878594,0.9011862122087424,2588.168020248413,26.785704135894775
31,InceptionTime,TSC,FacesUCR,0.0,0.96703410243946,0.973170731707317,0.9611430542044104,7498.800337791444,27.882719039916992
32,InceptionTime,TSC,Adiac,0.0,0.8537939537939538,0.8363171355498721,0.8417390042390042,8992.05502128601,26.437650203704834
33,InceptionTime,TSC,FordB,0.0,0.9367089470709544,0.9364686468646864,0.936237648939262,7459.430958986282,31.361236810684204
34,InceptionTime,TSC,ShapeletSim,0.0,0.9891304347826086,0.9888888888888888,0.9888888888888888,2099.666261911392,25.93199110031128
35,InceptionTime,TSC,MiddlePhalanxOutlineAgeGroup,0.0,0.4711368878035545,0.5324675324675324,0.4659867547798582,1490.377775669098,26.03145170211792
36,InceptionTime,TSC,CBF,0.0,0.9988998899889988,0.9988888888888888,0.9988888888888888,2456.47079372406,26.751906871795654
37,InceptionTime,TSC,Herring,0.0,0.6919406150583245,0.703125,0.6831983805668016,5486.154703378677,25.887840509414673
38,InceptionTime,TSC,FordA,0.0,0.948439292184293,0.9483476811996668,0.9482023193290798,10433.04102563858,31.313896656036377
39,InceptionTime,TSC,Meat,0.0,0.9523809523809522,0.95,0.95,4855.918781518936,25.91912078857422
